"name","latitude","longitude"
"Nicotiana glauca Graham",37.765392,-0.74852
"Nicotiana glauca Graham",38.096606,-0.68176
"Nicotiana glauca Graham",38.097036,-0.67843
"Nicotiana glauca Graham",27.788741,-15.71456
"Nicotiana glauca Graham",27.759901,-17.920622
"Nicotiana glauca Graham",37.372764,-1.643199
"Nicotiana glauca Graham",38.052536,-1.204473
"Nicotiana glauca Graham",28.3892,-14.104646
"Nicotiana glauca Graham",38.15839,-0.671202
"Nicotiana glauca Graham",28.156225,-16.435945
"Nicotiana glauca Graham",28.215416,-16.836274
"Nicotiana glauca Graham",28.994908,-13.504719
"Nicotiana glauca Graham",28.36555,-16.76616
"Nicotiana glauca Graham",28.119027,-16.758475
"Nicotiana glauca Graham",28.45147,-16.258118
"Nicotiana glauca Graham",29.044308,-13.715657
"Nicotiana glauca Graham",36.884483,-2.002557
"Nicotiana glauca Graham",38.211124,-1.403532
"Nicotiana glauca Graham",28.688603,-13.841153
"Nicotiana glauca Graham",28.090089,-14.378331
"Nicotiana glauca Graham",28.062285,-14.400555
"Nicotiana glauca Graham",28.087339,-15.446828
"Nicotiana glauca Graham",28.68241,-14.006987
"Nicotiana glauca Graham",28.075371,-14.304687
"Nicotiana glauca Graham",37.299403,-5.939815
"Nicotiana glauca Graham",37.300874,-5.929715
"Nicotiana glauca Graham",27.786726,-15.523188
"Nicotiana glauca Graham",28.416847,-16.556607
"Nicotiana glauca Graham",38.110233,-0.641909
"Nicotiana glauca Graham",27.981321,-15.466734
"Nicotiana glauca Graham",27.788699,-15.526225
"Nicotiana glauca Graham",28.032251,-15.399254
"Nicotiana glauca Graham",37.361137,-5.988478
"Nicotiana glauca Graham",37.361092,-5.988375
"Nicotiana glauca Graham",27.949556,-15.382854
"Nicotiana glauca Graham",28.23163,-16.842022
"Nicotiana glauca Graham",28.142531,-17.197472
"Nicotiana glauca Graham",36.809407,-2.595598
"Nicotiana glauca Graham",28.026807,-15.389492
"Nicotiana glauca Graham",28.07295,-16.732685
"Nicotiana glauca Graham",28.92382,-13.828334
"Nicotiana glauca Graham",28.923813,-13.828191
"Nicotiana glauca Graham",38.570718,-0.146055
"Nicotiana glauca Graham",38.571122,-0.141593
"Nicotiana glauca Graham",28.026377,-16.703318
"Nicotiana glauca Graham",38.726135,0.10853
"Nicotiana glauca Graham",28.081657,-16.735921
"Nicotiana glauca Graham",36.802072,-2.080133
"Nicotiana glauca Graham",37.334816,-1.783434
"Nicotiana glauca Graham",28.065928,-16.727118
"Nicotiana glauca Graham",28.098634,-16.752118
"Nicotiana glauca Graham",38.570718,-0.146055
"Nicotiana glauca Graham",38.571122,-0.141593
"Nicotiana glauca Graham",36.7777,-2.10453
"Nicotiana glauca Graham",28.969262,-13.830379
"Nicotiana glauca Graham",29.043909,-13.718539
"Nicotiana glauca Graham",36.628256,-4.515382
"Nicotiana glauca Graham",37.972222,-0.8125
"Nicotiana glauca Graham",38.030378,-0.663198
"Nicotiana glauca Graham",28.648272,-13.866116
"Nicotiana glauca Graham",28.373375,-16.678406
"Nicotiana glauca Graham",38.502162,-0.276759
"Nicotiana glauca Graham",37.542344,-1.366896
"Nicotiana glauca Graham",37.542344,-1.366896
"Nicotiana glauca Graham",37.885236,-0.932171
"Nicotiana glauca Graham",38.005476,-0.67391
"Nicotiana glauca Graham",36.949816,-4.793293
"Nicotiana glauca Graham",36.960613,-2.497164
"Nicotiana glauca Graham",29.074887,-13.522813
"Nicotiana glauca Graham",28.699645,-13.854478
"Nicotiana glauca Graham",37.542344,-1.366896
"Nicotiana glauca Graham",39.712335,-0.207189
"Nicotiana glauca Graham",38.487038,-0.7755
"Nicotiana glauca Graham",38.550213,-0.072335
"Nicotiana glauca Graham",38.550444,-0.075325
"Nicotiana glauca Graham",37.361139,-5.988478
"Nicotiana glauca Graham",37.413022,-1.786618
"Nicotiana glauca Graham",36.893813,-4.175025
"Nicotiana glauca Graham",36.736333,-4.464706
"Nicotiana glauca Graham",28.871574,-13.842977
"Nicotiana glauca Graham",38.110493,-0.641231
"Nicotiana glauca Graham",37.319258,-5.919961
"Nicotiana glauca Graham",36.746875,-3.076091
"Nicotiana glauca Graham",37.308782,-5.845541
"Nicotiana glauca Graham",37.308782,-5.845541
"Nicotiana glauca Graham",36.58811,-4.567227
"Nicotiana glauca Graham",36.730151,-3.581213
"Nicotiana glauca Graham",37.572731,-1.198275
"Nicotiana glauca Graham",36.724692,-3.374396
"Nicotiana glauca Graham",28.107015,-17.140241
"Nicotiana glauca Graham",37.590973,-1.224284
"Nicotiana glauca Graham",38.020659,-0.731831
"Nicotiana glauca Graham",38.02926,-1.129585
"Nicotiana glauca Graham",28.140988,-15.597034
"Nicotiana glauca Graham",38.89192,-6.374289
"Nicotiana glauca Graham",28.075249,-14.304501
"Nicotiana glauca Graham",37.16821,-1.830302
"Nicotiana glauca Graham",28.386604,-16.691246
"Nicotiana glauca Graham",28.38967,-16.692027
"Nicotiana glauca Graham",38.386581,-0.684097
"Nicotiana glauca Graham",38.19519,-0.863075
"Nicotiana glauca Graham",28.058137,-15.47618
"Nicotiana glauca Graham",29.044309,-13.715937
"Nicotiana glauca Graham",28.099854,-14.353618
"Nicotiana glauca Graham",36.885435,-2.003627
"Nicotiana glauca Graham",39.187086,-0.224009
"Nicotiana glauca Graham",36.759315,-3.847922
"Nicotiana glauca Graham",37.53234,-1.37392
"Nicotiana glauca Graham",27.941208,-15.388575
"Nicotiana glauca Graham",29.059647,-13.502086
"Nicotiana glauca Graham",37.424275,-5.708317
"Nicotiana glauca Graham",36.754888,-3.835105
"Nicotiana glauca Graham",28.508522,-16.421041
"Nicotiana glauca Graham",37.544888,-5.03907
"Nicotiana glauca Graham",28.032503,-15.398105
"Nicotiana glauca Graham",27.776956,-15.570165
"Nicotiana glauca Graham",38.788068,-0.076684
"Nicotiana glauca Graham",37.362979,-5.988381
"Nicotiana glauca Graham",37.30255,-5.943497
"Nicotiana glauca Graham",28.093881,-14.379622
"Nicotiana glauca Graham",28.099342,-15.418255
"Nicotiana glauca Graham",28.058832,-15.452289
"Nicotiana glauca Graham",28.956541,-13.601527
"Nicotiana glauca Graham",28.963697,-13.550608
"Nicotiana glauca Graham",28.999559,-13.503595
"Nicotiana glauca Graham",36.779318,-2.232764
"Nicotiana glauca Graham",28.537639,-17.797622
"Nicotiana glauca Graham",28.511669,-17.867797
"Nicotiana glauca Graham",28.124722,-16.779722
"Nicotiana glauca Graham",28.011758,-16.639556
"Nicotiana glauca Graham",28.06689,-16.729205
"Nicotiana glauca Graham",38.346863,-0.478564
"Nicotiana glauca Graham",36.475501,-5.941565
"Nicotiana glauca Graham",28.013656,-16.654943
"Nicotiana glauca Graham",28.013651,-16.655055
"Nicotiana glauca Graham",37.275618,-5.935468
"Nicotiana glauca Graham",29.146173,-13.490981
"Nicotiana glauca Graham",28.623169,-13.98446
"Nicotiana glauca Graham",38.23,-0.89
"Nicotiana glauca Graham",38.22,-0.89
"Nicotiana glauca Graham",38.01,-0.86
"Nicotiana glauca Graham",38.09,-0.95
"Nicotiana glauca Graham",38.02,-0.67
"Nicotiana glauca Graham",38.13,-0.64
"Nicotiana glauca Graham",38.02,-0.83
"Nicotiana glauca Graham",38.03,-0.86
"Nicotiana glauca Graham",38.03,-0.66
"Nicotiana glauca Graham",38.2,-0.55
"Nicotiana glauca Graham",38.03,-0.85
"Nicotiana glauca Graham",38.01,-0.83
"Nicotiana glauca Graham",38.25,-0.53
"Nicotiana glauca Graham",38.26,-0.51
"Nicotiana glauca Graham",38.26,-0.53
"Nicotiana glauca Graham",38.35,-0.6
"Nicotiana glauca Graham",38.35,-0.59
"Nicotiana glauca Graham",28.047504,-16.548918
"Nicotiana glauca Graham",37.720879,-1.046088
"Nicotiana glauca Graham",28.064885,-16.628718
"Nicotiana glauca Graham",36.63724,-6.391841
"Nicotiana glauca Graham",36.637317,-6.391856
"Nicotiana glauca Graham",28.069662,-14.438266
"Nicotiana glauca Graham",28.890591,-13.780363
"Nicotiana glauca Graham",36.573865,-4.614284
"Nicotiana glauca Graham",36.885616,-2.004084
"Nicotiana glauca Graham",28.075162,-14.304593
"Nicotiana glauca Graham",28.100095,-14.353741
"Nicotiana glauca Graham",28.085833,-16.611389
"Nicotiana glauca Graham",36.760648,-3.844224
"Nicotiana glauca Graham",37.042291,-2.403809
"Nicotiana glauca Graham",38.782309,-6.245251
"Nicotiana glauca Graham",37.575365,-1.800174
"Nicotiana glauca Graham",37.226972,-5.099787
"Nicotiana glauca Graham",36.592117,-4.639472
"Nicotiana glauca Graham",28.0225,-16.619167
"Nicotiana glauca Graham",37.478223,-5.936807
"Nicotiana glauca Graham",36.605176,-6.280998
"Nicotiana glauca Graham",36.729876,-4.232659
"Nicotiana glauca Graham",28.1225,-16.779167
"Nicotiana glauca Graham",36.747406,-4.057971
"Nicotiana glauca Graham",28.64075,-17.758511
"Nicotiana glauca Graham",37.592086,-4.637787
"Nicotiana glauca Graham",37.39452,-6.106293
"Nicotiana glauca Graham",36.431982,-6.226459
"Nicotiana glauca Graham",38.013244,-0.697647
"Nicotiana glauca Graham",36.98299,-6.529902
"Nicotiana glauca Graham",38.232067,-0.715547
"Nicotiana glauca Graham",28.372596,-16.76732
"Nicotiana glauca Graham",28.683538,-17.948766
"Nicotiana glauca Graham",36.535851,-4.973644
"Nicotiana glauca Graham",36.801987,-2.075649
"Nicotiana glauca Graham",37.570494,-1.478492
"Nicotiana glauca Graham",28.397675,-16.644241
"Nicotiana glauca Graham",38.994646,-6.295136
"Nicotiana glauca Graham",38.994646,-6.295136
"Nicotiana glauca Graham",28.394382,-16.675125
"Nicotiana glauca Graham",39.20308,-0.388995
"Nicotiana glauca Graham",37.422161,-5.990366
"Nicotiana glauca Graham",36.632511,-6.38458
"Nicotiana glauca Graham",36.604223,-6.279803
"Nicotiana glauca Graham",28.631908,-13.997305
"Nicotiana glauca Graham",27.765718,-15.569848
"Nicotiana glauca Graham",28.103434,-16.734937
"Nicotiana glauca Graham",37.925148,-0.742194
"Nicotiana glauca Graham",36.747858,-4.227542
"Nicotiana glauca Graham",37.252014,-6.949842
"Nicotiana glauca Graham",39.289237,-0.419812
"Nicotiana glauca Graham",28.555591,-16.344759
"Nicotiana glauca Graham",37.302475,-5.92486
"Nicotiana glauca Graham",28.594875,-13.99241
"Nicotiana glauca Graham",37.296946,-6.831243
"Nicotiana glauca Graham",28.478029,-13.909568
"Nicotiana glauca Graham",28.089128,-16.654687
"Nicotiana glauca Graham",36.727463,-3.534843
"Nicotiana glauca Graham",36.469228,-6.184328
"Nicotiana glauca Graham",37.183367,-3.58718
"Nicotiana glauca Graham",36.439039,-6.208063
"Nicotiana glauca Graham",37.361137,-5.988463
"Nicotiana glauca Graham",36.842131,-2.365812
"Nicotiana glauca Graham",36.842033,-2.365795
"Nicotiana glauca Graham",38.249156,-0.811909
"Nicotiana glauca Graham",38.250843,-0.812079
"Nicotiana glauca Graham",38.251814,-0.813074
"Nicotiana glauca Graham",28.122156,-16.461928
"Nicotiana glauca Graham",38.182008,-0.777895
"Nicotiana glauca Graham",36.885834,-2.003311
"Nicotiana glauca Graham",36.592087,-4.639045
"Nicotiana glauca Graham",38.350819,-0.470891
"Nicotiana glauca Graham",36.597301,-4.632486
"Nicotiana glauca Graham",38.591073,-1.68646
"Nicotiana glauca Graham",36.853633,-2.047621
"Nicotiana glauca Graham",38.265251,-0.525233
"Nicotiana glauca Graham",37.713507,-0.857228
"Nicotiana glauca Graham",38.181945,-0.778499
"Nicotiana glauca Graham",29.092083,-13.462799
"Nicotiana glauca Graham",42.287507,3.276763
"Nicotiana glauca Graham",38.146799,-0.644293
"Nicotiana glauca Graham",28.176198,-17.181814
"Nicotiana glauca Graham",36.856086,-2.448638
"Nicotiana glauca Graham",41.643081,2.713165
"Nicotiana glauca Graham",29.008637,-13.53781
"Nicotiana glauca Graham",36.886479,-2.000221
"Nicotiana glauca Graham",28.118569,-15.431503
"Nicotiana glauca Graham",37.657337,-1.160619
"Nicotiana glauca Graham",28.180556,-17.184167
"Nicotiana glauca Graham",37.594443,-1.070542
"Nicotiana glauca Graham",28.346286,-13.881347
"Nicotiana glauca Graham",28.425852,-14.056996
"Nicotiana glauca Graham",39.561573,-0.424875
"Nicotiana glauca Graham",29.044439,-13.717186
"Nicotiana glauca Graham",36.752956,-3.174531
